date,commodity,contract,settlement_eur
2007-08-23,ele,CAL08,53.25
2007-08-26,ele,CAL08,53.25
2007-08-27,ele,CAL08,53.4
2007-08-28,ele,CAL08,53.4
2007-08-29,ele,CAL08,53.4
2007-08-30,ele,CAL08,53.4
2007-09-02,ele,CAL08,53.85
2007-09-03,ele,CAL08,54.0
2007-09-04,ele,CAL08,54.0
2007-09-05,ele,CAL08,54.05
2007-09-06,ele,CAL08,54.15
2007-09-09,ele,CAL08,54.15
2007-09-10,ele,CAL08,54.0
2007-09-11,ele,CAL08,54.2
2007-09-12,ele,CAL08,54.1
2007-09-13,ele,CAL08,53.9
2007-09-16,ele,CAL08,54.3
2007-09-17,ele,CAL08,54.35
2007-09-18,ele,CAL08,54.55
2007-09-19,ele,CAL08,54.75
2007-09-20,ele,CAL08,54.85
2007-09-23,ele,CAL08,54.85
2007-09-24,ele,CAL08,54.85
2007-09-25,ele,CAL08,54.5
2007-09-26,ele,CAL08,54.65
2007-09-30,ele,CAL08,55.2
2007-10-01,ele,CAL08,55.1
2007-10-02,ele,CAL08,55.1
2007-10-03,ele,CAL08,55.1
2007-10-04,ele,CAL08,55.35
2007-10-07,ele,CAL08,55.6
2007-10-08,ele,CAL08,55.6
2007-10-09,ele,CAL08,55.9
2007-10-10,ele,CAL08,55.9
2007-10-11,ele,CAL08,56.0
2007-10-14,ele,CAL08,56.3
2007-10-15,ele,CAL08,57.1
2007-10-16,ele,CAL08,57.4
2007-10-17,ele,CAL08,57.4
2007-10-18,ele,CAL08,57.5
2007-10-21,ele,CAL08,57.5
2007-10-22,ele,CAL08,57.5
2007-10-23,ele,CAL08,57.1
2007-10-24,ele,CAL08,57.05
2007-10-25,ele,CAL08,58.0
2007-10-28,ele,CAL08,58.0
2007-10-29,ele,CAL08,58.0
2007-10-30,ele,CAL08,57.5
2007-10-31,ele,CAL08,57.5
2007-11-01,ele,CAL08,57.5
2007-11-04,ele,CAL08,57.5
2007-11-05,ele,CAL08,57.5
2007-11-06,ele,CAL08,57.5
2007-11-07,ele,CAL08,57.5
2007-11-08,ele,CAL08,58.0
2007-11-11,ele,CAL08,58.4
2007-11-12,ele,CAL08,58.4
2007-11-13,ele,CAL08,58.6
2007-11-14,ele,CAL08,58.6
2007-11-15,ele,CAL08,58.6
2007-11-18,ele,CAL08,57.9
2007-11-19,ele,CAL08,58.4
2007-11-20,ele,CAL08,58.95
2007-11-21,ele,CAL08,59.1
2007-11-22,ele,CAL08,59.0
2007-11-25,ele,CAL08,58.65
2007-11-26,ele,CAL08,58.65
2007-11-27,ele,CAL08,58.2
2007-11-28,ele,CAL08,57.8
2007-11-29,ele,CAL08,57.8
2007-12-02,ele,CAL08,57.5
2007-12-03,ele,CAL08,57.5
2007-12-04,ele,CAL08,57.5
2007-12-05,ele,CAL08,57.5
2007-12-06,ele,CAL08,57.5
2007-12-09,ele,CAL08,57.5
2007-12-10,ele,CAL08,58.5
2007-12-11,ele,CAL08,58.5
2007-12-12,ele,CAL08,58.5
2007-12-13,ele,CAL08,58.5
2007-12-16,ele,CAL08,58.5
2007-12-17,ele,CAL08,58.5
2007-12-18,ele,CAL08,58.2
2007-12-19,ele,CAL08,58.2
2007-12-20,ele,CAL08,58.2
2007-12-26,ele,CAL08,58.2
2007-12-27,ele,CAL08,58.2
2008-01-01,ele,CAL09,58.0
2008-01-02,ele,CAL09,58.0
2008-01-03,ele,CAL09,60.75
2008-01-06,ele,CAL09,60.75
2008-01-07,ele,CAL09,60.75
2008-01-08,ele,CAL09,61.5
2008-01-09,ele,CAL09,61.5
2008-01-10,ele,CAL09,61.5
2008-01-13,ele,CAL09,61.5
2008-01-14,ele,CAL09,61.5
2008-01-15,ele,CAL09,61.5
2008-01-16,ele,CAL09,61.5
2008-01-17,ele,CAL09,61.5
2008-01-20,ele,CAL09,58.8
2008-01-21,ele,CAL09,58.8
2008-01-22,ele,CAL09,58.8
2008-01-23,ele,CAL09,58.8
2008-01-24,ele,CAL09,58.8
2008-01-27,ele,CAL09,58.8
2008-01-28,ele,CAL09,58.8
2008-01-29,ele,CAL09,60.2
2008-01-30,ele,CAL09,60.2
2008-01-31,ele,CAL09,60.2
2008-02-03,ele,CAL09,60.2
2008-02-04,ele,CAL09,60.2
2008-02-05,ele,CAL09,60.2
2008-02-06,ele,CAL09,60.2
2008-02-07,ele,CAL09,60.2
2008-02-10,ele,CAL09,60.2
2008-02-11,ele,CAL09,60.2
2008-02-12,ele,CAL09,60.2
2008-02-13,ele,CAL09,60.2
2008-02-14,ele,CAL09,60.2
2008-02-17,ele,CAL09,60.2
2008-02-18,ele,CAL09,60.2
2008-02-19,ele,CAL09,60.2
2008-02-20,ele,CAL09,60.2
2008-02-21,ele,CAL09,62.8
2008-02-24,ele,CAL09,63.5
2008-02-25,ele,CAL09,63.5
2008-02-26,ele,CAL09,63.65
2008-02-27,ele,CAL09,63.55
2008-02-28,ele,CAL09,63.85
2008-03-02,ele,CAL09,63.85
2008-03-03,ele,CAL09,63.85
2008-03-04,ele,CAL09,63.85
2008-03-05,ele,CAL09,62.3
2008-03-06,ele,CAL09,63.1
2008-03-09,ele,CAL09,63.1
2008-03-10,ele,CAL09,63.1
2008-03-11,ele,CAL09,63.1
2008-03-12,ele,CAL09,63.25
2008-03-13,ele,CAL09,63.25
2008-03-16,ele,CAL09,62.6
2008-03-17,ele,CAL09,62.6
2008-03-18,ele,CAL09,62.4
2008-03-19,ele,CAL09,62.4
2008-03-20,ele,CAL09,62.4
2008-03-24,ele,CAL09,62.05
2008-03-25,ele,CAL09,62.05
2008-03-26,ele,CAL09,62.05
2008-03-27,ele,CAL09,62.05
2008-03-30,ele,CAL09,62.05
2008-03-31,ele,CAL09,62.05
2008-04-01,ele,CAL09,62.05
2008-04-02,ele,CAL09,62.05
2008-04-03,ele,CAL09,62.05
2008-04-06,ele,CAL09,62.05
2008-04-07,ele,CAL09,63.8
2008-04-08,ele,CAL09,63.8
2008-04-09,ele,CAL09,63.8
2008-04-10,ele,CAL09,63.8
2008-04-13,ele,CAL09,63.8
2008-04-14,ele,CAL09,63.8
2008-04-15,ele,CAL09,64.9
2008-04-16,ele,CAL09,64.9
2008-04-17,ele,CAL09,64.9
2008-04-20,ele,CAL09,64.9
2008-04-21,ele,CAL09,65.5
2008-04-22,ele,CAL09,65.5
2008-04-23,ele,CAL09,65.6
2008-04-24,ele,CAL09,65.15
2008-04-27,ele,CAL09,65.5
2008-04-28,ele,CAL09,65.5
2008-04-29,ele,CAL09,65.5
2008-05-01,ele,CAL09,64.6
2008-05-04,ele,CAL09,66.25
2008-05-05,ele,CAL09,66.25
2008-05-06,ele,CAL09,66.25
2008-05-08,ele,CAL09,68.9
2008-05-11,ele,CAL09,68.9
2008-05-12,ele,CAL09,68.9
2008-05-13,ele,CAL09,68.9
2008-05-14,ele,CAL09,69.8
2008-05-15,ele,CAL09,70.0
2008-05-18,ele,CAL09,70.0
2008-05-19,ele,CAL09,71.35
2008-05-20,ele,CAL09,72.25
2008-05-21,ele,CAL09,74.0
2008-05-22,ele,CAL09,74.0
2008-05-25,ele,CAL09,74.25
2008-05-26,ele,CAL09,74.25
2008-05-27,ele,CAL09,74.25
2008-05-28,ele,CAL09,74.25
2008-05-29,ele,CAL09,72.9
2008-06-01,ele,CAL09,72.9
2008-06-02,ele,CAL09,73.6
2008-06-03,ele,CAL09,73.0
2008-06-04,ele,CAL09,73.0
2008-06-05,ele,CAL09,71.8
2008-06-08,ele,CAL09,75.75
2008-06-09,ele,CAL09,75.2
2008-06-10,ele,CAL09,75.2
2008-06-11,ele,CAL09,76.8
2008-06-12,ele,CAL09,77.25
2008-06-15,ele,CAL09,77.35
2008-06-16,ele,CAL09,77.35
2008-06-17,ele,CAL09,79.3
2008-06-18,ele,CAL09,80.1
2008-06-19,ele,CAL09,80.1
2008-06-22,ele,CAL09,81.0
2008-06-23,ele,CAL09,81.6
2008-06-24,ele,CAL09,81.6
2008-06-25,ele,CAL09,83.85
2008-06-26,ele,CAL09,86.9
2008-06-29,ele,CAL09,88.0
2008-06-30,ele,CAL09,90.0
2008-07-01,ele,CAL09,85.5
2008-07-02,ele,CAL09,88.6
2008-07-03,ele,CAL09,88.6
2008-07-06,ele,CAL09,87.3
2008-07-07,ele,CAL09,87.3
2008-07-08,ele,CAL09,86.25
2008-07-09,ele,CAL09,83.8
2008-07-10,ele,CAL09,87.9
2008-07-13,ele,CAL09,87.9
2008-07-14,ele,CAL09,86.6
2008-07-15,ele,CAL09,84.15
2008-07-16,ele,CAL09,84.15
2008-07-17,ele,CAL09,80.1
2008-07-20,ele,CAL09,79.15
2008-07-21,ele,CAL09,79.05
2008-07-22,ele,CAL09,76.55
2008-07-23,ele,CAL09,77.9
2008-07-24,ele,CAL09,79.9
2008-07-27,ele,CAL09,78.0
2008-07-28,ele,CAL09,77.15
2008-07-29,ele,CAL09,76.0
2008-07-30,ele,CAL09,76.0
2008-07-31,ele,CAL09,77.9
2008-08-03,ele,CAL09,77.7
2008-08-04,ele,CAL09,75.5
2008-08-05,ele,CAL09,75.0
2008-08-06,ele,CAL09,77.0
2008-08-07,ele,CAL09,77.0
2008-08-10,ele,CAL09,77.5
2008-08-11,ele,CAL09,77.5
2008-08-12,ele,CAL09,79.0
2008-08-13,ele,CAL09,80.25
2008-08-14,ele,CAL09,79.85
