date,commodity,contract,settlement_eur
2013-12-08,gas,CAL14,26.7
2013-12-09,gas,CAL14,26.75
2013-12-10,gas,CAL14,26.38
2013-12-11,gas,CAL14,26.33
2013-12-12,gas,CAL14,26.3
2013-12-15,gas,CAL14,26.35
2013-12-16,gas,CAL14,26.47
2013-12-17,gas,CAL14,26.5
2013-12-18,gas,CAL14,26.55
2013-12-19,gas,CAL14,26.55
2013-12-22,gas,CAL14,26.5
2013-12-26,gas,CAL14,26.65
2013-12-29,gas,CAL14,26.75
2013-12-30,gas,CAL14,26.65
2014-01-01,gas,CAL15,26.75
2014-01-02,gas,CAL15,26.65
2014-01-05,gas,CAL15,26.5
2014-01-06,gas,CAL15,26.4
2014-01-07,gas,CAL15,26.45
2014-01-08,gas,CAL15,26.5
2014-01-09,gas,CAL15,26.3
2014-01-12,gas,CAL15,26.08
2014-01-13,gas,CAL15,26.0
2014-01-14,gas,CAL15,26.05
2014-01-15,gas,CAL15,26.55
2014-01-16,gas,CAL15,26.6
2014-01-19,gas,CAL15,26.4
2014-01-20,gas,CAL15,26.5
2014-01-21,gas,CAL15,26.5
2014-01-22,gas,CAL15,26.45
2014-01-23,gas,CAL15,26.3
2014-01-26,gas,CAL15,26.25
2014-01-27,gas,CAL15,26.15
2014-01-28,gas,CAL15,26.1
2014-01-29,gas,CAL15,26.05
2014-01-30,gas,CAL15,26.0
2014-02-02,gas,CAL15,25.85
2014-02-03,gas,CAL15,25.9
2014-02-04,gas,CAL15,25.5
2014-02-05,gas,CAL15,25.75
2014-02-06,gas,CAL15,25.7
2014-02-09,gas,CAL15,25.9
2014-02-10,gas,CAL15,26.15
2014-02-11,gas,CAL15,26.2
2014-02-12,gas,CAL15,26.25
2014-02-13,gas,CAL15,25.85
2014-02-16,gas,CAL15,25.9
2014-02-17,gas,CAL15,25.9
2014-02-18,gas,CAL15,25.85
2014-02-19,gas,CAL15,25.75
2014-02-20,gas,CAL15,25.75
2014-02-23,gas,CAL15,25.45
2014-02-24,gas,CAL15,25.55
2014-02-25,gas,CAL15,25.25
2014-02-26,gas,CAL15,25.75
2014-02-27,gas,CAL15,25.6
2014-03-02,gas,CAL15,26.15
2014-03-03,gas,CAL15,25.9
2014-03-04,gas,CAL15,25.6
2014-03-05,gas,CAL15,25.85
2014-03-06,gas,CAL15,25.65
2014-03-09,gas,CAL15,25.5
2014-03-10,gas,CAL15,25.3
2014-03-11,gas,CAL15,25.15
2014-03-12,gas,CAL15,25.25
2014-03-13,gas,CAL15,25.4
2014-03-16,gas,CAL15,25.3
2014-03-17,gas,CAL15,25.2
2014-03-18,gas,CAL15,25.05
2014-03-19,gas,CAL15,25.05
2014-03-20,gas,CAL15,25.2
2014-03-23,gas,CAL15,25.05
2014-03-24,gas,CAL15,24.85
2014-03-25,gas,CAL15,24.9
2014-03-26,gas,CAL15,24.9
2014-03-27,gas,CAL15,24.95
2014-03-30,gas,CAL15,24.55
2014-03-31,gas,CAL15,24.5
2014-04-01,gas,CAL15,23.7
2014-04-02,gas,CAL15,23.8
2014-04-03,gas,CAL15,23.85
2014-04-06,gas,CAL15,24.55
2014-04-07,gas,CAL15,24.7
2014-04-08,gas,CAL15,24.75
2014-04-09,gas,CAL15,24.45
2014-04-10,gas,CAL15,24.95
2014-04-13,gas,CAL15,25.5
2014-04-14,gas,CAL15,25.2
2014-04-15,gas,CAL15,25.5
2014-04-16,gas,CAL15,25.25
2014-04-21,gas,CAL15,24.8
2014-04-22,gas,CAL15,24.7
2014-04-23,gas,CAL15,24.85
2014-04-24,gas,CAL15,25.4
2014-04-27,gas,CAL15,25.35
2014-04-28,gas,CAL15,24.95
2014-04-29,gas,CAL15,24.75
2014-05-01,gas,CAL15,25.2
2014-05-04,gas,CAL15,25.2
2014-05-05,gas,CAL15,25.1
2014-05-06,gas,CAL15,24.6
2014-05-08,gas,CAL15,24.7
2014-05-11,gas,CAL15,24.9
2014-05-12,gas,CAL15,25.05
2014-05-13,gas,CAL15,24.95
2014-05-14,gas,CAL15,24.85
2014-05-15,gas,CAL15,24.8
2014-05-18,gas,CAL15,24.75
2014-05-19,gas,CAL15,24.95
2014-05-20,gas,CAL15,25.2
2014-05-21,gas,CAL15,25.15
2014-05-22,gas,CAL15,25.15
2014-05-25,gas,CAL15,25.15
2014-05-26,gas,CAL15,24.9
2014-05-27,gas,CAL15,24.95
2014-05-28,gas,CAL15,24.85
2014-05-29,gas,CAL15,24.8
2014-06-01,gas,CAL15,24.75
2014-06-02,gas,CAL15,24.55
2014-06-03,gas,CAL15,24.5
2014-06-04,gas,CAL15,24.5
2014-06-05,gas,CAL15,24.4
2014-06-08,gas,CAL15,24.4
2014-06-09,gas,CAL15,24.35
2014-06-10,gas,CAL15,24.4
2014-06-11,gas,CAL15,24.6
2014-06-12,gas,CAL15,24.85
2014-06-15,gas,CAL15,25.3
2014-06-16,gas,CAL15,24.7
2014-06-17,gas,CAL15,24.8
2014-06-18,gas,CAL15,24.9
2014-06-19,gas,CAL15,24.93
2014-06-22,gas,CAL15,24.85
2014-06-23,gas,CAL15,24.55
2014-06-24,gas,CAL15,24.5
2014-06-25,gas,CAL15,24.2
2014-06-26,gas,CAL15,24.3
2014-06-29,gas,CAL15,24.2
2014-06-30,gas,CAL15,24.1
2014-07-01,gas,CAL15,24.0
2014-07-02,gas,CAL15,23.9
2014-07-03,gas,CAL15,23.85
2014-07-06,gas,CAL15,23.85
2014-07-07,gas,CAL15,23.9
2014-07-08,gas,CAL15,23.8
2014-07-09,gas,CAL15,23.65
2014-07-10,gas,CAL15,23.75
2014-07-13,gas,CAL15,23.95
2014-07-14,gas,CAL15,24.0
2014-07-15,gas,CAL15,24.5
2014-07-16,gas,CAL15,24.8
2014-07-17,gas,CAL15,25.0
2014-07-20,gas,CAL15,24.7
2014-07-21,gas,CAL15,24.6
2014-07-22,gas,CAL15,24.7
2014-07-23,gas,CAL15,24.95
2014-07-24,gas,CAL15,25.25
2014-07-27,gas,CAL15,25.2
2014-07-28,gas,CAL15,25.1
2014-07-29,gas,CAL15,24.9
2014-07-30,gas,CAL15,25.0
2014-07-31,gas,CAL15,24.75
2014-08-03,gas,CAL15,24.55
2014-08-04,gas,CAL15,24.6
2014-08-05,gas,CAL15,25.15
2014-08-06,gas,CAL15,25.45
2014-08-07,gas,CAL15,25.5
2014-08-10,gas,CAL15,25.3
2014-08-11,gas,CAL15,25.25
2014-08-12,gas,CAL15,25.2
2014-08-13,gas,CAL15,25.4
2014-08-14,gas,CAL15,25.45
2014-08-17,gas,CAL15,25.3
2014-08-18,gas,CAL15,24.95
2014-08-19,gas,CAL15,24.75
2014-08-20,gas,CAL15,24.65
2014-08-21,gas,CAL15,24.75
2014-08-24,gas,CAL15,24.75
2014-08-25,gas,CAL15,24.8
2014-08-26,gas,CAL15,24.5
2014-08-27,gas,CAL15,24.95
2014-08-28,gas,CAL15,25.0
2014-08-31,gas,CAL15,25.35
2014-09-01,gas,CAL15,25.1
2014-09-02,gas,CAL15,24.8
2014-09-03,gas,CAL15,25.1
2014-09-04,gas,CAL15,25.1
2014-09-07,gas,CAL15,25.07
2014-09-08,gas,CAL15,24.9
2014-09-09,gas,CAL15,24.75
2014-09-10,gas,CAL15,25.13
2014-09-11,gas,CAL15,25.23
2014-09-14,gas,CAL15,25.36
2014-09-15,gas,CAL15,25.28
2014-09-16,gas,CAL15,25.24
2014-09-17,gas,CAL15,25.41
2014-09-18,gas,CAL15,25.44
2014-09-21,gas,CAL15,25.23
2014-09-22,gas,CAL15,24.93
2014-09-23,gas,CAL15,25.01
2014-09-24,gas,CAL15,25.19
2014-09-25,gas,CAL15,24.85
2014-09-28,gas,CAL15,24.8
2014-09-29,gas,CAL15,25.05
2014-09-30,gas,CAL15,25.1
2014-10-01,gas,CAL15,24.87
2014-10-02,gas,CAL15,24.67
2014-10-05,gas,CAL15,24.65
2014-10-06,gas,CAL15,24.55
2014-10-07,gas,CAL15,24.6
2014-10-08,gas,CAL15,24.63
2014-10-09,gas,CAL15,24.5
2014-10-12,gas,CAL15,24.24
2014-10-13,gas,CAL15,24.18
2014-10-14,gas,CAL15,23.89
2014-10-15,gas,CAL15,24.12
2014-10-16,gas,CAL15,24.17
2014-10-19,gas,CAL15,24.0
2014-10-20,gas,CAL15,24.0
